PMID,Model,Type,Gold_Standard,Predicted,TP,FN,FP
20509069,LLM,interventions,Virtual reality hypnosis | virtual reality hypnosis ( VRH ) -hypnotic induction | VRH | VR without hypnosis | standard care | VRH | VRH,,0,5,0
20509069,NER,interventions,Virtual reality hypnosis | virtual reality hypnosis ( VRH ) -hypnotic induction | VRH | VR without hypnosis | standard care | VRH | VRH,virtual reality hypnosis | virtual reality hypnosis ( vrh ) -hypnotic induction and analgesic suggestion | virtual reality ( vr | vrh | adjunctive vr without hypnosis | standard care | vrh analgesia,5,0,2
20509069,LLM,outcomes,analgesic efficacy | analgesic suggestion | Subjective pain ratings | pain intensity | pain unpleasantness | pain management,,0,6,0
20509069,NER,outcomes,analgesic efficacy | analgesic suggestion | Subjective pain ratings | pain intensity | pain unpleasantness | pain management,analgesic efficacy | subjective pain ratings | pain intensity | less pain unpleasantness,4,2,0
17616069,LLM,participants,postpartum anemia | pospartal anemia | Prague | Prague . | 50 women with clinical and lab signs of postpartal anemia . | pospartal anemia,,0,5,0
17616069,NER,participants,postpartum anemia | pospartal anemia | Prague | Prague . | 50 women with clinical and lab signs of postpartal anemia . | pospartal anemia,postpartum | department of obstetric and gynecology 2nd medical faculty charles university and teaching hospital motol prague and department of obstetric and gynecology 1st medical faculty and teaching hospital bulovka prague | 50 women with clinical and lab signs of postpartal anemia,3,2,0
17616069,LLM,interventions,trivalent ferrum preparation ] | trivalent ferrum preparation . | sacharose ferric oxide ( Venofer ) | Venofer | trivalent saccharose ferric oxide,,0,5,0
17616069,NER,interventions,trivalent ferrum preparation ] | trivalent ferrum preparation . | sacharose ferric oxide ( Venofer ) | Venofer | trivalent saccharose ferric oxide,trivalent ferrum preparation | trivalent ferrum preparation | 500 mg of sacharose ferric oxide ( venofer | venofer | trivalent saccharose ferric oxide,4,1,0
17616069,LLM,outcomes,effectivity | safeness | values of red blood count | serum values of soluble transferrin receptors and ferritin | iron cell saturation and body iron reserves | adverse events | effective | serious adverse event,,0,8,0
17616069,NER,outcomes,effectivity | safeness | values of red blood count | serum values of soluble transferrin receptors and ferritin | iron cell saturation and body iron reserves | adverse events | effective | serious adverse event,effectivity | red blood count | serum values of soluble transferrin receptors and ferritin,3,5,0
7808649,LLM,participants,patients suffering from post-operative pain after cholecystectomy . | 99 patients with severe pain following surgery .,,0,2,0
7808649,NER,participants,patients suffering from post-operative pain after cholecystectomy . | 99 patients with severe pain following surgery .,post-cholecystectomy | patients suffering from post-operative pain after cholecystectomy | 99 patients with severe pain following surgery,2,0,1
7808649,LLM,interventions,placebo-controlled | ketorolac tromethamine | ketorolac tromethamine | placebo | ketorolac tromethamine | placebo | placebo | ketorolac | ketorolac,,0,4,0
7808649,NER,interventions,placebo-controlled | ketorolac tromethamine | ketorolac tromethamine | placebo | ketorolac tromethamine | placebo | placebo | ketorolac | ketorolac,placebo | ketorolac tromethamine | ketorolac tromethamine | placebo | ketorolac tromethamine | placebo | placebo | ketorolac | ketorolac,3,1,0
7808649,LLM,outcomes,effectiveness | tolerability | efficacy | tolerability | analgesia activity | assessing pain intensity and pain relief | 4 point scale ( VRS ) | safety | efficacy | pain intensity | rescue analgesic drug | adverse events | systemic and local tolerability | effective,,0,12,0
7808649,NER,outcomes,effectiveness | tolerability | efficacy | tolerability | analgesia activity | assessing pain intensity and pain relief | 4 point scale ( VRS ) | safety | efficacy | pain intensity | rescue analgesic drug | adverse events | systemic and local tolerability | effective,effectiveness and tolerability | efficacy and tolerability | analgesia activity | pain intensity and pain relief | scale | safety and efficacy | pain intensity | adverse events | systemic and local tolerability,9,3,0
20739054,LLM,participants,"chronic immune thrombocytopenia | patients with chronic immune thrombocytopenia | adults with previously treated immune thrombocytopenia of more than 6 months ' duration who had baseline platelet counts lower than 30,000 per μL | FINDINGS Between Nov 22 , 2006 , and July 31 , 2007 , 197 patients","adults with previously treated immune thrombocytopenia of more than 6 months' duration who had baseline platelet counts lower than 30,000 per μL",1,3,0
20739054,NER,participants,"chronic immune thrombocytopenia | patients with chronic immune thrombocytopenia | adults with previously treated immune thrombocytopenia of more than 6 months ' duration who had baseline platelet counts lower than 30,000 per μL | FINDINGS Between Nov 22 , 2006 , and July 31 , 2007 , 197 patients","chronic | thrombocytopenia | patients with chronic immune thrombocytopenia | adults with previously treated immune thrombocytopenia of more than 6 months ' duration who had baseline platelet counts lower than 30,000 per μl | between nov 22 2006 and july 31 2007 197 patients were randomly allocated to treatment groups and were included in the intention-to-treat analysis ( 135 el | 62",3,1,3
20739054,LLM,interventions,"Eltrombopag | Eltrombopag | eltrombopag | placebo | mg eltrombopag | matching placebo | response to eltrombopag versus placebo | ( 135 eltrombopag , 62 placebo ) | in the eltrombopag | in the placebo | in the eltrombopag | in the placebo | receiving eltrombopag | receiving | receiving eltrombopag | receiving | patients receiving eltrombopag | patients | . Nine ( 7 % ) eltrombopag-treated | ( 3 % ) in the | and five ( 4 % ) eltrombopag-treated | allocated | patients taking | treated with eltrombopag | INTERPRETATION Eltrombopag | associated with eltrombopag",50 mg eltrombopag or matching placebo once daily for 6 months | local standard of care plus 50 mg eltrombopag,2,19,0
20739054,NER,interventions,"Eltrombopag | Eltrombopag | eltrombopag | placebo | mg eltrombopag | matching placebo | response to eltrombopag versus placebo | ( 135 eltrombopag , 62 placebo ) | in the eltrombopag | in the placebo | in the eltrombopag | in the placebo | receiving eltrombopag | receiving | receiving eltrombopag | receiving | patients receiving eltrombopag | patients | . Nine ( 7 % ) eltrombopag-treated | ( 3 % ) in the | and five ( 4 % ) eltrombopag-treated | allocated | patients taking | treated with eltrombopag | INTERPRETATION Eltrombopag | associated with eltrombopag",eltrombopag | eltrombopag | eltrombopag | placebo | placebo | local standard of care plus 50 mg eltrombopag or matching placebo | eltrombopag | placebo | trombopag | placebo | eltrombopag | placebo | eltrombopag | placebo | eltrombopag | placebo | eltrombopag | placebo | eltrombopag,4,17,0
20739054,LLM,outcomes,"response | for response to treatment ( defined as a platelet count of 50,000-400,000 per | was the odds of response | group responded | . The odds of responding | eltrombopag reduced concomitant treatment | eltrombopag needed rescue | eltrombopag had thromboembolic | increases in alanine aminotransferase concentration | increases in total | placebo had serious bleeding | Eltrombopag is","response to treatment (defined as a platelet count of 50,000-400,000 per μL)",1,11,0
20739054,NER,outcomes,"response | for response to treatment ( defined as a platelet count of 50,000-400,000 per | was the odds of response | group responded | . The odds of responding | eltrombopag reduced concomitant treatment | eltrombopag needed rescue | eltrombopag had thromboembolic | increases in alanine aminotransferase concentration | increases in total | placebo had serious bleeding | Eltrombopag is",responding | concomitant | rescue | thromboembolic events,3,9,1
24960665,LLM,participants,Tunisians : | 370 RH:1 Tunisian donors | 370 donors | Tunisians .,370 RH:1 Tunisian donors,1,3,0
24960665,NER,participants,Tunisians : | 370 RH:1 Tunisian donors | 370 donors | Tunisians .,tunisians | disease of the foetus and newborn | anti-rhd | 370 rh:1 tunisian donors | our 370 donors comprise 193 dizygous and 145 hemizygous individuals and 32 subjects whose zygosity remains unknown | in tunisians,4,0,2
24960665,LLM,interventions,"molecular tests . | molecular test | polymerase chain reaction - sequence-specific polymorphism ( PCR-SSP ) | polymerase chain reaction - restriction fragment length polymorphism ( PCR-RFLP ) | hybrid Rhesus box and by real time quantitative polymerase chain reaction ( RQ-PCR ) | molecular tests | PCR | RQ-PCR . | PCR-SSP , PCR-RFLP and RQ-PCR | RQ-PCR | PCR-RFLP",polymerase chain reaction - sequence-specific polymorphism (PCR-SSP) analysis | polymerase chain reaction - restriction fragment length polymorphism (PCR-RFLP) amplification of hybrid Rhesus box | real time quantitative polymerase chain reaction (RQ-PCR) specific for RHD exon 5,3,8,0
24960665,NER,interventions,"molecular tests . | molecular test | polymerase chain reaction - sequence-specific polymorphism ( PCR-SSP ) | polymerase chain reaction - restriction fragment length polymorphism ( PCR-RFLP ) | hybrid Rhesus box and by real time quantitative polymerase chain reaction ( RQ-PCR ) | molecular tests | PCR | RQ-PCR . | PCR-SSP , PCR-RFLP and RQ-PCR | RQ-PCR | PCR-RFLP",polymerase chain reaction - sequence-specific polymorphism ( pcr-ssp ) analysis and polymerase chain reaction - restriction fragment length polymorphism ( pcr-rflp ) amplification of hybrid rhesus box and by real time quantitative polymerase chain reaction ( rq-pcr ) specific for rhd exon 5 | pcr | pcr-ssp pcr-rflp | rq-pcr | rq-pcr | pcr-rflp,5,6,0
24960665,LLM,outcomes,Paternal RHD zygosity | paternal RHD zygosity | RHD zygosity | polymerase chain reaction - sequence-specific polymorphism ( PCR-SSP ) | polymerase chain reaction - restriction fragment length polymorphism ( PCR-RFLP ) amplification of hybrid Rhesus box and by real time quantitative polymerase chain reaction ( RQ-PCR ) specific for RHD exon 5 . | Positive predictive values | Negative predictive values | Rhesus box polymorphisms | RHD alleles : | paternal RHD zygosity | PCR-RFLP,"positive predictive values were higher than 99 % for all the methods, reaching 100 % for RQ-PCR | negative predictive values were 83.24 % , 87.27 % and 98 % for PCR-SSP , PCR-RFLP and RQ-PCR respectively",2,8,0
24960665,NER,outcomes,Paternal RHD zygosity | paternal RHD zygosity | RHD zygosity | polymerase chain reaction - sequence-specific polymorphism ( PCR-SSP ) | polymerase chain reaction - restriction fragment length polymorphism ( PCR-RFLP ) amplification of hybrid Rhesus box and by real time quantitative polymerase chain reaction ( RQ-PCR ) specific for RHD exon 5 . | Positive predictive values | Negative predictive values | Rhesus box polymorphisms | RHD alleles : | paternal RHD zygosity | PCR-RFLP,positive predictive values | values,2,8,0
22420121,LLM,participants,"individuals with autism spectrum disorder : | individuals formally diagnosed with autism spectrum disorder ( ASD ) . | 20 children with ASD ( M age = 14.3 yr. | SD = 4.2 ; 6 girls , 14 boys ) in the role of speakers and 20 control children , who acted as listeners . | Inclusion/exclusion criteria were defined according to the clinical diagnosis of ASD , the presence or absence of additional or associated disability , previous training in referential communication , and any drug treatment . | individuals with ASD","individuals with autism spectrum disorder | 20 children with ASD | 6 girls, 14 boys",2,4,1
22420121,NER,participants,"individuals with autism spectrum disorder : | individuals formally diagnosed with autism spectrum disorder ( ASD ) . | 20 children with ASD ( M age = 14.3 yr. | SD = 4.2 ; 6 girls , 14 boys ) in the role of speakers and 20 control children , who acted as listeners . | Inclusion/exclusion criteria were defined according to the clinical diagnosis of ASD , the presence or absence of additional or associated disability , previous training in referential communication , and any drug treatment . | individuals with ASD",individuals with autism spectrum disorder | individuals formally diagnosed with autism spectrum disorder ( asd ) . participants were 20 children with asd ( m age = 14.3 yr. sd = 4.2 ; 6 girls 14 boys ) in the role of speakers and 20 control children who acted as listeners . they were all enrolled in mainstream compulsory education . inclusion/exclusion criteria were defined according to the clinical diagnosis of asd the presence or absence of additional or associated disability previous training in referential communication and any drug treatment | individuals with asd,3,3,0
22420121,LLM,interventions,"referential communicative skills | referential communication training | referential communication | referential communication tasks ( task analysis , role taking | task evaluation ) | communicative game | referential communication",referential communication training | training in referential communication tasks | task analysis | role taking | task evaluation,4,2,1
22420121,NER,interventions,"referential communicative skills | referential communication training | referential communication | referential communication tasks ( task analysis , role taking | task evaluation ) | communicative game | referential communication",referential communicative skills | referential communication training | trained | untrained | trained in referential communication tasks ( task analysis role taking and task evaluation | part in a communicative game but without any specific communicative training | ecological referential communication,5,1,2
22420121,LLM,outcomes,"Linguistic age , cognitive level and autistic symptoms | Peabody Picture Vocabulary Test ( PPVT ) , the Wechsler Intelligence Scale ( WISC-R or WAIS-III ) , and the Autistic Behavior Checklist ( ABC ) . Communicative abilities | indexes related to message complexity and self-regulation . | complexity of emitted messages",the complexity of emitted messages had improved statistically significantly | communicative abilities,2,2,0
22420121,NER,outcomes,"Linguistic age , cognitive level and autistic symptoms | Peabody Picture Vocabulary Test ( PPVT ) , the Wechsler Intelligence Scale ( WISC-R or WAIS-III ) , and the Autistic Behavior Checklist ( ABC ) . Communicative abilities | indexes related to message complexity and self-regulation . | complexity of emitted messages",autistic | peabody picture vocabulary test ( ppvt ) the wechsler intelligence scale ( wisc-r or wais-iii | and the autistic behavior checklist ( abc ) . communicative abilities | message | self | complexity of emitted messages,4,0,2
18337284,LLM,participants,group A beta-haemolytic streptococcal pharyngitis . | GABHS pharyngitis . | school-based clinic in New Zealand . Children presenting with GABHS pharyngitis | 353 children with positive throat swabs for GABHS | GABHS in children with pharyngitis .,children with GABHS pharyngitis | children with positive throat swabs for GABHS,2,3,0
18337284,NER,participants,group A beta-haemolytic streptococcal pharyngitis . | GABHS pharyngitis . | school-based clinic in New Zealand . Children presenting with GABHS pharyngitis | 353 children with positive throat swabs for GABHS | GABHS in children with pharyngitis .,group a beta-haemolytic streptococcal pharyngitis | pharyng | school-based clinic in new zealand . children presenting with gabhs pharyngitis | 353 children with positive throat swabs for gabhs | in children with pharyngitis,5,0,0
18337284,LLM,interventions,amoxicillin | penicillin V | amoxicillin | penicillin V | amoxicillin | penicillin | amoxicillin | penicillin | amoxicillin | penicillin | amoxicillin | penicillin | amoxicillin . | amoxicillin | penicillin,once-daily oral amoxicillin | twice-daily oral penicillin V | oral amoxicillin 1500 mg QD | oral penicillin V 500 mg BID,4,0,0
18337284,NER,interventions,amoxicillin | penicillin V | amoxicillin | penicillin V | amoxicillin | penicillin | amoxicillin | penicillin | amoxicillin | penicillin | amoxicillin | penicillin | amoxicillin . | amoxicillin | penicillin,amoxicillin | twice | penicillin v | amoxicillin | penicillin v | amoxicillin | oral penicillin v | amoxicillin | penicillin v | amoxicillin | penicillin v | amoxicillin | penicillin v | amoxicillin | amoxicillin | penicillin v,3,1,1
18337284,LLM,outcomes,non-inferiority | non-inferiority | medication and weekend diary cards | Eradication of GABHS | follow-up throat cultures | GABHS isolates were serotyped | bacteriological treatment failures | relapses ) | new acquisitions . Non-inferiority | upper 95 % confidence limit ( CL ) for the difference in success of eradication | upper 95 % CL | Treatment failures | relapses ) | resolution of symptoms | not inferior,Eradication of GABHS | bacteriological treatment failures | resolution of symptoms | treatment failures,4,9,0
18337284,NER,outcomes,non-inferiority | non-inferiority | medication and weekend diary cards | Eradication of GABHS | follow-up throat cultures | GABHS isolates were serotyped | bacteriological treatment failures | relapses ) | new acquisitions . Non-inferiority | upper 95 % confidence limit ( CL ) for the difference in success of eradication | upper 95 % CL | Treatment failures | relapses ) | resolution of symptoms | not inferior,eradication of gabhs | eradication | cultures | treatment failures ( including relapses | resolution of symptoms | unsu | acute rheumatic fever,5,8,2
22154769,LLM,participants,healthy adults ≥60 years of age | with 210 subjects ≥60 years | immunogenic in adults ≥60,healthy adults ≥60 years of age | adults ≥60 years old | subjects ≥60 years old,2,1,1
22154769,NER,participants,healthy adults ≥60 years of age | with 210 subjects ≥60 years | immunogenic in adults ≥60,healthy adults ≥60 years of age | 210 subjects ≥60 years old | adults ≥60 years old,2,1,1
22154769,LLM,interventions,zoster vaccine | of zoster vaccine ( ZV ) | of ZV | doses of | vs. placebo | in the | in the placebo | after | ( GMTs ) in | than in the | CONCLUSIONS | second,"1 and 2 doses of zoster vaccine | one dose of zoster vaccine ( ZV ) | a second dose of ZV | one and two doses of ZV, separated by 6 weeks",4,8,0
22154769,NER,interventions,zoster vaccine | of zoster vaccine ( ZV ) | of ZV | doses of | vs. placebo | in the | in the placebo | after | ( GMTs ) in | than in the | CONCLUSIONS | second,zoster vaccine | zoster vaccine ( zv | zv | placebo | z | placebo | z | placebo | zv | zv,4,8,1
22154769,LLM,outcomes,"Safety , tolerability , and immunogenicity | compared immunity and safety profiles | placebo . Immunogenicity was evaluated using VZV interferon-gamma ( IFN-γ ) enzyme-linked immunospot ( ELISPOT ) assay and VZV glycoprotein enzyme-linked immunosorbent antibody ( gpELISA ) assay . Adverse experiences ( AEs ) | on a standardized Vaccination Report | RESULTS No serious vaccine-related | occurred . VZV IFN-γ ELISPOT geometric mean count ( GMC ) of spot-forming cells per 10 ( 6 ) peripheral blood mononuclear | respectively | study . The peak ELISPOT response | dose . The gpELISA geometric mean titers | between the IFN-γ ELISPOT and gpELISA | was generally | VZV-specific",safety | tolerability | immunogenicity | incidence and severity of herpes zoster ( HZ ) | postherpetic neuralgia | immunity to varicella-zoster virus ( VZV ) | VZV interferon-gamma ( IFN-γ ) enzyme-linked immunospot ( ELISPOT ) assay | VZV glycoprotein enzyme-linked immunosorbent antibody ( gpELISA ) assay | adverse experiences ( AEs ),3,9,6
22154769,NER,outcomes,"Safety , tolerability , and immunogenicity | compared immunity and safety profiles | placebo . Immunogenicity was evaluated using VZV interferon-gamma ( IFN-γ ) enzyme-linked immunospot ( ELISPOT ) assay and VZV glycoprotein enzyme-linked immunosorbent antibody ( gpELISA ) assay . Adverse experiences ( AEs ) | on a standardized Vaccination Report | RESULTS No serious vaccine-related | occurred . VZV IFN-γ ELISPOT geometric mean count ( GMC ) of spot-forming cells per 10 ( 6 ) peripheral blood mononuclear | respectively | study . The peak ELISPOT response | dose . The gpELISA geometric mean titers | between the IFN-γ ELISPOT and gpELISA | was generally | VZV-specific",safety tolerability and immunogenicity | immunity and safety | immunogenicity | adverse experiences | aes | vzv ifn-γ elispot geometric mean count ( gmc | forming | elispot response | gpelisa geometric mean titers ( gmts | vzv-specific immunity,7,5,3
16505427,LLM,participants,anemic patients with cancer . | patients with cancer-associated anemia . | Three hundred sixty-five patients,,0,3,0
16505427,NER,participants,anemic patients with cancer . | patients with cancer-associated anemia . | Three hundred sixty-five patients,anemic patients with cancer | patients with cancer-associated anemia | patients | three hundred sixty-five patients were enrolled . one hundred eighty-three patients were assigned to the 40k arm and 182 were assigned to the 120k arm,3,0,1
16505427,LLM,interventions,erythropoietin | epoetin alfa | epoetin alfa | epoetin alfa | epoetin alfa | epoetin alfa | epoetin alfa | epoetin alfa .,,0,3,0
16505427,NER,interventions,erythropoietin | epoetin alfa | epoetin alfa | epoetin alfa | epoetin alfa | epoetin alfa | epoetin alfa | epoetin alfa .,"erythropoietin | epoetin alfa | epoetin alfa | epoetin alfa | standard weekly epoetin alfa | 120,000 u of epoetin alfa | epoetin alfa | epoetin alfa",3,0,1
16505427,LLM,outcomes,"requiring transfusions | hemoglobin ( Hb ) increment | drug dose | Hb | Hb | Toxicities , including thromboembolism | overall survival | global quality of life ( QOL ) | global QOL | QOL | safely | transfusion needs | QOL . | Hb increment",,0,13,0
16505427,NER,outcomes,"requiring transfusions | hemoglobin ( Hb ) increment | drug dose | Hb | Hb | Toxicities , including thromboembolism | overall survival | global quality of life ( QOL ) | global QOL | QOL | safely | transfusion needs | QOL . | Hb increment",transfusions | dl hemoglobin ( hb ) increment | mean end-of-study hb levels . toxicities including thromboembolism and overall survival | global quality of life ( qol | global qol improvement | transfusion needs | qol | hb increment,8,5,0
24317958,LLM,participants,root canal | Fifty-three root canals with two standardized grooves in the apical and coronal parts of longitudinally split roots,,0,2,0
24317958,NER,participants,root canal | Fifty-three root canals with two standardized grooves in the apical and coronal parts of longitudinally split roots,fifty-three root canals with two standardized grooves in the apical and coronal parts of longitudinally split roots were covered with ah plus root canal sealer,1,1,0
24317958,LLM,interventions,"sonic , ultrasonic , and hydrodynamic devices | syringe irrigation | CanalBrush | passive ultrasonic irrigation | EndoActivator | RinsEndo | RESULTS Passive ultrasonic irrigation | other tested irrigation systems or syringe irrigation | study protocol ultrasonic | treatment failure . Passive Ultrasonic",,0,10,0
24317958,NER,interventions,"sonic , ultrasonic , and hydrodynamic devices | syringe irrigation | CanalBrush | passive ultrasonic irrigation | EndoActivator | RinsEndo | RESULTS Passive ultrasonic irrigation | other tested irrigation systems or syringe irrigation | study protocol ultrasonic | treatment failure . Passive Ultrasonic",sonic ultrasonic | hydrodynamic | control | syringe irrigation ( 1 ) canalbrush | passive ultrasonic irrigation ( 3 ) endoactivator and ( 4 ) rinsendo | ultrasonic irrigation | syringe irrigation | ultrasonic irrigation | ultrasonic irrigation,5,5,2
24317958,LLM,outcomes,efficiency | randomization . The amount of remaining sealer in the root canal irregularities was evaluated under a microscope using a 4-grade scoring | whereas the remaining sealer on the root canal surface was evaluated with a 7-grade scoring | irrigation in removing sealer from root canal | significant effect on cleaning the lateral | superior effect on sealer removal from the root canal | RELEVANCE Incomplete removal of root canal | effective system to remove sealer from a,,0,8,0
24317958,NER,outcomes,efficiency | randomization . The amount of remaining sealer in the root canal irregularities was evaluated under a microscope using a 4-grade scoring | whereas the remaining sealer on the root canal surface was evaluated with a 7-grade scoring | irrigation in removing sealer from root canal | significant effect on cleaning the lateral | superior effect on sealer removal from the root canal | RELEVANCE Incomplete removal of root canal | effective system to remove sealer from a,,0,8,0
23357440,LLM,participants,children with autism spectrum disorders : | children with high-functioning autism spectrum disorders ( ASD ) and clinically significant anxiety . | 45 children ( 7-11 years of age ) with high-functioning ASD and clinically significant anxiety | youth with ASD .,,0,4,0
23357440,NER,participants,children with autism spectrum disorders : | children with high-functioning autism spectrum disorders ( ASD ) and clinically significant anxiety . | 45 children ( 7-11 years of age ) with high-functioning ASD and clinically significant anxiety | youth with ASD .,children with autism spectrum disorders | children with high-functioning autism spectrum disorders ( asd ) and clinically significant anxiety | total of 45 children ( 7-11 years of age ) with high-functioning asd and clinically significant anxiety | 24 | anxious youth with high-functioning asd | youth with asd,4,0,2
23357440,LLM,interventions,cognitive-behavioral therapy | treatment as usual | cognitive-behavioral therapy ( CBT ) | treatment as usual ( TAU ) | CBT | TAU | CBT | TAU | CBT | TAU | CBT | CBT | CBT,,0,6,0
23357440,NER,interventions,cognitive-behavioral therapy | treatment as usual | cognitive-behavioral therapy ( CBT ) | treatment as usual ( TAU ) | CBT | TAU | CBT | TAU | CBT | TAU | CBT | CBT | CBT,cognitive-behavioral therapy | treatment as usual | modular cognitive-behavioral therapy ( cbt ) protocol | treatment as usual ( tau | weekly cbt or tau | cbt | tau | cbt | tau | cbt | cbt,6,0,1
23357440,LLM,outcomes,efficacy | primary anxiety outcomes . | treatment responders | anxiety symptoms .,,0,4,0
23357440,NER,outcomes,efficacy | primary anxiety outcomes . | treatment responders | anxiety symptoms .,anxiety outcomes | anxiety symptoms,2,2,0
25885649,LLM,participants,"rheumatoid arthritis patients . | patients with rheumatoid arthritis ( RA ) | RA patients ' | Sixty-eight RA patients ( age=55±13 years , body mass index : 27.8±5.4 kg/m2 , median of disease duration=5 ( 2-8 ) yrs ) | in people with RA",,0,5,0
25885649,NER,participants,"rheumatoid arthritis patients . | patients with rheumatoid arthritis ( RA ) | RA patients ' | Sixty-eight RA patients ( age=55±13 years , body mass index : 27.8±5.4 kg/m2 , median of disease duration=5 ( 2-8 ) yrs ) | in people with RA",rheumatoid arthritis patients | patients with rheumatoid arthritis ( ra | ra patients | sixty-eight ra patients ( age=55±13 years body mass index : 27.8±5.4 kg/m2 median of disease duration=5 ( 2-8 ) yrs ) were recruited | ra patients,4,1,0
25885649,LLM,interventions,physical activity | physical activity ( PA ) | PA | PA | PA | when PA | all PA | moderate PA | intensity PA | all PA | self-reported PA,,0,8,0
25885649,NER,interventions,physical activity | physical activity ( PA ) | PA | PA | PA | when PA | all PA | moderate PA | intensity PA | all PA | self-reported PA,international physical activity questionnaire ; ipaq | accelerometry ; gt3x | gt3x | ipaq | vo2max test | ipaq | gt3x,1,7,4
25885649,LLM,outcomes,physical activity | agreement | subjective ( assessed via the International Physical Activity Questionnaire ; IPAQ ) and objective ( accelerometry ; GT3X ) physical activity ( PA ) levels | associations | subjective and objective PA | scores on the maximal oxygen uptake test ( VO2max ) . | IPAQ and VO2max test . | Bland-Altman plot | agreement | Wilcoxon test | association between the PA measurement and VO2max test was examined via the correlations and the magnitude was presented by the Steiger 's Z value . | the subjective and objective measures | level . Wilcoxon tests | in sedentary behaviours | and light PA | more moderate PA | between VO2max | from accelerometry | to sedentary time ( ST ) | P=.04 ) . IPAQ-reported moderate PA and MVPA | with maxV02 | the IPAQ-VO2 max and GT3X-VO2 max | the IPAQ | less sedentary | intensity PA | assessed . Accelerometry | with VO2max | and MPVA | with VO2max | self-reported PA and ST | with accelerometry,,0,29,0
25885649,NER,outcomes,physical activity | agreement | subjective ( assessed via the International Physical Activity Questionnaire ; IPAQ ) and objective ( accelerometry ; GT3X ) physical activity ( PA ) levels | associations | subjective and objective PA | scores on the maximal oxygen uptake test ( VO2max ) . | IPAQ and VO2max test . | Bland-Altman plot | agreement | Wilcoxon test | association between the PA measurement and VO2max test was examined via the correlations and the magnitude was presented by the Steiger 's Z value . | the subjective and objective measures | level . Wilcoxon tests | in sedentary behaviours | and light PA | more moderate PA | between VO2max | from accelerometry | to sedentary time ( ST ) | P=.04 ) . IPAQ-reported moderate PA and MVPA | with maxV02 | the IPAQ-VO2 max and GT3X-VO2 max | the IPAQ | less sedentary | intensity PA | assessed . Accelerometry | with VO2max | and MPVA | with VO2max | self-reported PA and ST | with accelerometry,activity | sedentary behaviours | pa | pa | vo2max | sedentary time ( st | pa and | maxv02,7,22,0
15848261,LLM,participants,stroke patients ] | post-acute hemiparetic patients | Twenty-six patients within 3 months of onset of stroke,,0,3,0
15848261,NER,participants,stroke patients ] | post-acute hemiparetic patients | Twenty-six patients within 3 months of onset of stroke,stroke patients | post-acute hemiparetic patients | twenty-six patients within 3 months of onset of stroke | patients | left hemiplegia | was significantly older | thirteen patients received | and 13 received,3,0,5
15848261,LLM,interventions,conventional physical therapy alone | with a specialised balance retraining program . | physical therapy | therapy and retraining | conventional therapy | therapy combined with standing balance training by biofeedback ( BPM Monitor ) . | conventional therapy .,,0,7,0
15848261,NER,interventions,conventional physical therapy alone | with a specialised balance retraining program . | physical therapy | therapy and retraining | conventional therapy | therapy combined with standing balance training by biofeedback ( BPM Monitor ) . | conventional therapy .,postural biofeedback | conventional physical therapy | specialised balance retraining program | physical therapy | control | therapy and retraining | early conventional therapy | therapy combined with standing balance training by biofeedback ( bpm monitor | visual biofeedback | forceplate system | conventional therapy,6,1,5
15848261,LLM,outcomes,gait improvement | Clinical measures | Gait spatiotemporal parameters | clinical scores | time between stroke and the beginning of walking | Gait velocity | walking pattern | duration of the paretic limb single stance . | duration of the reception double stance on the paretic limb | anticipation equilibrium,,0,10,0
15848261,NER,outcomes,gait improvement | Clinical measures | Gait spatiotemporal parameters | clinical scores | time between stroke and the beginning of walking | Gait velocity | walking pattern | duration of the paretic limb single stance . | duration of the reception double stance on the paretic limb | anticipation equilibrium,gait | gait spatiotemporal parameters | scores | spasticity | time between stroke and the beginning of walking | gait velocity | walking pattern | duration | paretic limb single stance | duration of the reception double stance,8,2,2
25950425,LLM,participants,patients undergoing laparatomy . | patients undergoing laparotomy . | Eighty patients ( 18 to 65 years of age ) undergoing elective laparotomy | nausea in patients undergoing laparotomy | relief in patients undergoing laparatomy,,0,5,0
25950425,NER,participants,patients undergoing laparatomy . | patients undergoing laparotomy . | Eighty patients ( 18 to 65 years of age ) undergoing elective laparotomy | nausea in patients undergoing laparotomy | relief in patients undergoing laparatomy,patients undergoing laparatomy | patients undergoing laparotomy | eighty patients ( 18 to 65 years of age ) undergoing elective laparotomy | 20 | patients undergoing laparotomy | patients undergoing laparatomy,3,2,1
25950425,LLM,interventions,pregabalin | lidocaine | pregabalin | lidocaine | placebo | normal saline infusion | placebo | lidocaine | mg oral pregabalin and normal saline infusion | 150 & nbsp ; mg oral pregabalin and lidocaine | Preoperative oral pregabalin | intravenous | Preoperative oral pregabalin | intravenous | preoperative pregabalin | or without,,0,10,0
